Latent Dim,Layers,LR,Momentum,TrainAcc,ValAcc
300,2,0.3,0.0,0.965825592770296,0.9589411756571602
100,2,0.05,0.0,0.9560733437538147,0.9514666597048441
100,2,0.05,0.9,0.9529199997584025,0.9501333435376486
100,2,0.1,0.0,0.9563416639963785,0.9509666760762533
100,2,0.1,0.9,0.9500883420308431,0.9496999979019165
100,2,0.3,0.0,0.9554099837938944,0.9502999981244405
100,2,0.3,0.9,0.9501283367474874,0.9508333404858907
100,2,0.5,0.0,0.9531116684277853,0.9504666725794474
100,2,0.5,0.9,0.9484650095303854,0.9499666889508566
100,3,0.05,0.0,0.9586433172225952,0.9497333566347758
100,3,0.05,0.9,0.9514066775639852,0.9490999976793925
100,3,0.1,0.0,0.9613883296648661,0.9502666592597961
100,3,0.1,0.9,0.9494783282279968,0.9475666681925455
100,3,0.3,0.0,0.9520350098609924,0.9492666522661845
100,3,0.3,0.9,0.9481783310572306,0.948200007279714
100,3,0.5,0.0,0.9513449867566427,0.9500666856765747
100,3,0.5,0.9,0.949013352394104,0.9505666494369507
100,5,0.05,0.0,0.9582766691843668,0.948199987411499
100,5,0.05,0.9,0.9504850109418234,0.9512666463851929
100,5,0.1,0.0,0.9567899902661642,0.9496000011761984
100,5,0.1,0.9,0.9505550066630045,0.949566662311554
100,5,0.3,0.0,0.9519933462142944,0.949066678682963
100,5,0.3,0.9,0.9493116736412048,0.9482999841372172
100,5,0.5,0.0,0.9513216813405355,0.9494333267211914
100,5,0.5,0.9,0.9415000081062317,0.9384999871253967
300,2,0.05,0.0,0.9601666728655497,0.948366661866506
300,2,0.05,0.9,0.9535183310508728,0.9524333477020264
300,2,0.1,0.0,0.9719833532969157,0.9622666637102762
300,2,0.1,0.9,0.9508800109227499,0.9517666697502136
300,2,0.3,0.9,0.9498299956321716,0.9522333343823751
300,2,0.5,0.0,0.9545166889826456,0.9497999946276346
300,2,0.5,0.9,0.9486733277638754,0.9479666749636332
300,3,0.05,0.0,0.9727416634559631,0.9478999972343445
300,3,0.05,0.9,0.951294998327891,0.9505000114440918
300,3,0.1,0.0,0.9683983325958252,0.9507333238919576
300,3,0.1,0.9,0.9505199988683065,0.9503333369890848
300,3,0.3,0.0,0.9521649877230326,0.951800008614858
300,3,0.3,0.9,0.9486124813556671,0.9475999772548676
300,3,0.5,0.0,0.9514849781990051,0.9517000019550323
300,3,0.5,0.9,0.9503549933433533,0.9492999911308289
300,5,0.05,0.0,0.9754725098609924,0.9486500024795532
300,5,0.05,0.9,0.9509425163269043,0.9486500024795532
300,5,0.1,0.0,0.9621874988079071,0.9483500123023987
300,5,0.1,0.9,0.9479275047779083,0.9451999962329865
300,5,0.3,0.0,0.952022522687912,0.9494500160217285
300,5,0.3,0.9,0.9484699964523315,0.9481000006198883
300,5,0.5,0.0,0.951167494058609,0.947350025177002
300,5,0.5,0.9,0.725585013628006,0.7272000014781952
300,7,0.05,0.0,0.9708575010299683,0.9474499970674515
300,7,0.05,0.9,0.9509350061416626,0.950000007947286
300,7,0.1,0.0,0.9642549951871237,0.9469000101089478
300,7,0.1,0.9,0.9497616688410441,0.9458666841189066
300,7,0.3,0.0,0.9517549872398376,0.9473666747411092
300,7,0.3,0.9,0.9487674832344055,0.9466500282287598
300,7,0.5,0.0,0.9479850232601166,0.9458999931812286
300,7,0.5,0.9,0.7225925028324127,0.72359998524189
300,10,0.05,0.0,0.4998716711997986,0.5065999925136566
300,10,0.05,0.9,0.49995667735735577,0.501233329375585
300,10,0.1,0.0,0.5001433193683624,0.4944000045458476
300,10,0.1,0.9,0.49961500366528827,0.5034000178178152
300,10,0.3,0.0,0.5002800126870474,0.5008000036080679
300,10,0.3,0.9,0.4996383289496104,0.4980333348115285
300,10,0.5,0.0,0.5005183219909668,0.5035000046094259
300,10,0.5,0.9,0.499156653881073,0.49486666917800903
500,7,0.05,0.0,0.9807824790477753,0.9469000101089478
500,7,0.05,0.9,0.9527825117111206,0.947050005197525
500,7,0.1,0.0,0.9704200029373169,0.9518499970436096
500,7,0.1,0.9,0.9500274956226349,0.9478999972343445
500,7,0.3,0.0,0.9525825083255768,0.9487999975681305
500,7,0.3,0.9,0.9488449990749359,0.9488999843597412
500,7,0.5,0.0,0.9512200057506561,0.9503500163555145
500,7,0.5,0.9,0.4993549883365631,0.5001000016927719
500,2,0.05,0.0,0.9639624953269958,0.9510999917984009
500,2,0.05,0.9,0.954604983329773,0.9480499923229218
500,2,0.1,0.0,0.964537501335144,0.9497500061988831
500,2,0.1,0.9,0.952067494392395,0.9511500000953674
500,2,0.3,0.0,0.9790824949741364,0.9754500091075897
500,2,0.3,0.9,0.9500924944877625,0.9478999972343445
500,2,0.5,0.0,0.976892501115799,0.9747500121593475
500,2,0.5,0.9,0.9465824961662292,0.9445500075817108
500,3,0.05,0.0,0.974682480096817,0.9455499947071075
500,3,0.05,0.9,0.951295018196106,0.9473499953746796
500,3,0.1,0.0,0.9886824786663055,0.9708499908447266
500,3,0.1,0.9,0.9495325088500977,0.9512999951839447
500,3,0.3,0.0,0.9522674977779388,0.9510500133037567
500,3,0.3,0.9,0.9493124783039093,0.9481500089168549
500,3,0.5,0.0,0.9516049921512604,0.9544500112533569
500,3,0.5,0.9,0.9495124816894531,0.9502499997615814
500,5,0.05,0.0,0.9942574799060822,0.9508500099182129
1000,2,0.05,0.0,0.9731025099754333,0.9514999985694885
1000,2,0.05,0.9,0.9768849909305573,0.9758000075817108
1000,2,0.1,0.0,0.9754524827003479,0.9483000040054321
1000,2,0.1,0.9,0.9512050151824951,0.9517000019550323
1000,2,0.3,0.0,0.9616100192070007,0.9510499835014343
1000,2,0.3,0.9,0.9488525092601776,0.9516000151634216
1000,2,0.5,0.0,0.9533075094223022,0.9486500024795532
1000,2,0.5,0.9,0.9498375058174133,0.944599986076355
1000,3,0.05,0.0,0.9902249872684479,0.9519000053405762
1000,3,0.05,0.9,0.9508749842643738,0.9490000009536743
500,10,0.05,0.0,0.5009499788284302,0.5016999840736389
500,10,0.05,0.9,0.49775001406669617,0.5148000121116638
500,10,0.1,0.0,0.49909499287605286,0.49559998512268066
500,10,0.1,0.9,0.5024049878120422,0.5145000219345093
500,10,0.3,0.0,0.5001950263977051,0.5013999938964844
500,10,0.3,0.9,0.5003499984741211,0.5044000148773193
500,10,0.5,0.0,0.49905499815940857,0.49300000071525574
500,10,0.5,0.9,0.498879998922348,0.49779999256134033
500,5,0.05,0.9,0.9517800211906433,0.9480999708175659
500,5,0.1,0.0,0.964900016784668,0.9538000226020813
500,5,0.1,0.9,0.9483399987220764,0.9501000046730042
500,5,0.3,0.0,0.9536150097846985,0.948199987411499
500,5,0.3,0.9,0.9498149752616882,0.9519000053405762
500,5,0.5,0.0,0.9499449729919434,0.9480000138282776
500,5,0.5,0.9,0.9484099745750427,0.9491000175476074
1000,10,0.05,0.0,0.5007799863815308,0.505299985408783
1000,10,0.05,0.9,0.5002549886703491,0.5044000148773193
1000,10,0.1,0.0,0.5008050203323364,0.5070000290870667
1000,10,0.1,0.9,0.4989199936389923,0.49889999628067017
1000,10,0.3,0.0,0.49906501173973083,0.5055000185966492
1000,10,0.3,0.9,0.49990999698638916,0.5041999816894531
1000,10,0.5,0.0,0.5006600022315979,0.5077999830245972
1000,10,0.5,0.9,0.4992299973964691,0.4999000132083893
1000,7,0.05,0.0,0.9990350008010864,0.9474999904632568
1000,7,0.05,0.9,0.9521399736404419,0.9456999897956848
1000,7,0.1,0.0,0.966605007648468,0.945900022983551
1000,7,0.1,0.9,0.9495400190353394,0.9524999856948853
1000,7,0.3,0.0,0.9538350105285645,0.9534000158309937
1000,7,0.3,0.9,0.49862998723983765,0.5038999915122986
1000,7,0.5,0.0,0.9512150287628174,0.9510999917984009
1000,7,0.5,0.9,0.4993099868297577,0.5067999958992004
1000,5,0.05,0.0,0.9992750287055969,0.9509999752044678
1000,5,0.05,0.9,0.9515050053596497,0.9503999948501587
1000,5,0.1,0.0,0.9750850200653076,0.9484000205993652
1000,5,0.1,0.9,0.9500550031661987,0.9483000040054321
1000,5,0.3,0.0,0.9518899917602539,0.9521999955177307
1000,5,0.3,0.9,0.9471499919891357,0.9488999843597412
1000,5,0.5,0.0,0.9502050280570984,0.9495000243186951
1000,5,0.5,0.9,0.5023900270462036,0.5001000165939331
1000,3,0.1,0.0,0.9720349907875061,0.9409999847412109
1000,3,0.1,0.9,0.9509950280189514,0.9473000168800354
1000,3,0.3,0.0,0.9529849886894226,0.9531999826431274
1000,3,0.3,0.9,0.9501649737358093,0.9490000009536743
1000,3,0.5,0.0,0.9518749713897705,0.9502000212669373
1000,3,0.5,0.9,0.9491450190544128,0.9466999769210815
